"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"li-4365956681","linkedin","https://www.linkedin.com/jobs/view/4365956681","","Software Entwickler Fullstack - Industrie Software MES / MOM (C# .NET / Blazor / Mendix) (m/w/d)","WAGNER Informatik GmbH","","2026-01-27","","","","","","",False,"","","","","","","https://de.linkedin.com/company/wagner-informatik-gmbh","","","","","","","","","","","",""
"li-4362930914","linkedin","https://www.linkedin.com/jobs/view/4362930914","","ASIC Digital Backend Engineer (m/f/d) - REF84962Q","AUMOVIO","Regensburg, Bavaria, Germany","2026-01-27","","","","","","",False,"","","","","","","https://de.linkedin.com/company/aumovio","","","","","","","","","","","",""
"li-4366381280","linkedin","https://www.linkedin.com/jobs/view/4366381280","",".NET Software Engineer","Noir","Nuremberg, Bavaria, Germany","2026-01-27","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/noir-consulting","","","","","","","","","","","",""
"li-4366243608","linkedin","https://www.linkedin.com/jobs/view/4366243608","","HPC Software Engineer","Canonical","Nuremberg, Bavaria, Germany","2026-01-27","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/canonical","","","","","","","","","","","",""
"li-4354595124","linkedin","https://www.linkedin.com/jobs/view/4354595124","","Senior Full-Stack Software Engineer (m/w/d)","BWI GmbH","Nuremberg, Bavaria, Germany","2026-01-27","","","","","","",False,"","","","","","","https://de.linkedin.com/company/bwi-gmbh","","","","","","","","","","","",""
"li-3961464577","linkedin","https://www.linkedin.com/jobs/view/3961464577","","Business Developer Salesforce (all genders)","adesso SE","Nuremberg, Bavaria, Germany","2026-01-27","","","","","","",False,"","","","","","","https://de.linkedin.com/company/adesso-se","","","","","","","","","","","",""
"li-4355688722","linkedin","https://www.linkedin.com/jobs/view/4355688722","","Software Developer Java EE (m/w/d)","Nexis","Regensburg, Bavaria, Germany","2026-01-26","","","","","","",False,"","","","","","","https://de.linkedin.com/company/nexis-gmbh","","","","","","","","","","","",""
"li-4281975147","linkedin","https://www.linkedin.com/jobs/view/4281975147","","Praktikant*in im Bereich Entwicklung von Augmented und Virtual Reality Anwendungen (AR/VR) (m/w/d)","Schaeffler","Nuremberg, Bavaria, Germany","2026-01-26","","","","","","",False,"","","","","","","https://de.linkedin.com/company/schaeffler","","","","","","","","","","","",""
"li-4228362598","linkedin","https://www.linkedin.com/jobs/view/4228362598","","Duales Studium Bachelor Digital Engineering (m/w/d) – Elektromobilität","Cummins Europe","Nuremberg, Bavaria, Germany","2026-01-25","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/cummins-europe","","","","","","","","","","","",""
"li-4365629862","linkedin","https://www.linkedin.com/jobs/view/4365629862","","Python Software Engineer - Ubuntu Hardware Certification Team","Canonical","Nuremberg, Bavaria, Germany","2026-01-24","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/canonical","","","","","","","","","","","",""
"li-4350921017","linkedin","https://www.linkedin.com/jobs/view/4350921017","","Software Developer (Microsoft Dynamics 365 F&SCM) (all genders welcome)","COSMO CONSULT","Nuremberg, Bavaria, Germany","2026-01-24","","","","","","",False,"","","","","","","https://de.linkedin.com/company/cosmo-consult-gmbh","","","","","","","","","","","",""
"li-4321321985","linkedin","https://www.linkedin.com/jobs/view/4321321985","","Software Engineer (m/w/d)","Diehl Defence","Röthenbach an der Pegnitz, Bavaria, Germany","2026-01-23","","","","","","",False,"","","","","","","https://de.linkedin.com/company/diehl-defence","","","","","","","","","","","",""
"li-4320869212","linkedin","https://www.linkedin.com/jobs/view/4320869212","","Software Developer (f/m/d)–Compiler Engineering","Siemens","Erlangen, Bavaria, Germany","2026-01-23","","","","","","",False,"","","","","","","https://de.linkedin.com/company/siemens","","","","","","","","","","","",""
"li-4363470596","linkedin","https://www.linkedin.com/jobs/view/4363470596","","Absolvent der Informatik (m/w/d) Java / Spring  / TypeScript / React","mgm technology partners","Nuremberg, Bavaria, Germany","2026-01-23","","","","","","",False,"","","","","","","https://de.linkedin.com/company/mgm-technology-partners-gmbh","","","","","","","","","","","",""
"li-3941410136","linkedin","https://www.linkedin.com/jobs/view/3941410136","","Senior Java Web-Entwickler w/m/d","Computacenter","","2026-01-23","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/computacenter","","","","","","","","","","","",""
"li-4352040507","linkedin","https://www.linkedin.com/jobs/view/4352040507","","Expert Multimedia Electronics Test & Validation Engineer (all gender)","ALTEN Germany","Erlangen, Bavaria, Germany","2026-01-23","","","","","","",False,"","","","","","","https://de.linkedin.com/company/altengermany","","","","","","","","","","","",""
"li-4352120423","linkedin","https://www.linkedin.com/jobs/view/4352120423","","Expert Multimedia Electronics Test & Validation Engineer (all gender)","ALTEN Germany","Erlangen, Bavaria, Germany","2026-01-23","","","","","","",False,"","","","","","","https://de.linkedin.com/company/altengermany","","","","","","","","","","","",""
"li-4355311667","linkedin","https://www.linkedin.com/jobs/view/4355311667","","Frontend Software Developer - Webstack (m/w/d)","Hallo Welt! GmbH","Regensburg, Bavaria, Germany","2026-01-22","","","","","","",False,"","","","","","","https://de.linkedin.com/company/hallo-welt-gmbh","","","","","","","","","","","",""
"li-4354233680","linkedin","https://www.linkedin.com/jobs/view/4354233680","","Chief Software Engineer | Deep-Tech Start-Up | Counter UAS","AI Futures","Bavaria, Germany","2026-01-22","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/aifuturesgroup","","","","","","","","","","","",""
"li-4346920072","linkedin","https://www.linkedin.com/jobs/view/4346920072","","Softwareentwickler (m/w/d)","FERCHAU","Nuremberg, Bavaria, Germany","2026-01-22","","","","","","",False,"","","","","","","https://de.linkedin.com/company/ferchau","","","","","","","","","","","",""
"li-4355201573","linkedin","https://www.linkedin.com/jobs/view/4355201573","","Softwareentwickler Full-Stack (m/w/d)","H-O-T Härte- und Oberflächentechnik GmbH & Co.KG","Nuremberg, Bavaria, Germany","2026-01-21","","","","","","",False,"","","","","","","https://de.linkedin.com/company/h-o-t-haerte-und-oberflaechentechnik","","","","","","","","","","","",""
"li-4365005860","linkedin","https://www.linkedin.com/jobs/view/4365005860","","Ubuntu Software Engineer","Canonical","Nuremberg, Bavaria, Germany","2026-01-21","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/canonical","","","","","","","","","","","",""
"li-4354098966","linkedin","https://www.linkedin.com/jobs/view/4354098966","","Software-Testautomatisierer/in (m/w/d)","SimplyTest","Nuremberg, Bavaria, Germany","2026-01-21","","","","","","",False,"","","","","","","https://de.linkedin.com/company/simplytest","","","","","","","","","","","",""
"li-4364954957","linkedin","https://www.linkedin.com/jobs/view/4364954957","","Senior System Engineer / Architect – Zentrales Event Management (m/w/d)","BWI GmbH","Nuremberg, Bavaria, Germany","2026-01-21","","","","","","",False,"","","","","","","https://de.linkedin.com/company/bwi-gmbh","","","","","","","","","","","",""
"li-4297604638","linkedin","https://www.linkedin.com/jobs/view/4297604638","","Senior Java Search Engineer (/nb)","Instaffo","Hirschau, Bavaria, Germany","2026-01-20","","","","","","",False,"","","","","","","https://de.linkedin.com/company/instaffo-gmbh","","","","","","","","","","","",""
"li-4354042417","linkedin","https://www.linkedin.com/jobs/view/4354042417","","System Engineer (m/w/d) Citrix & Virtualisierung -in Bayern oder BW- 60%remote","BRINK Group","","2026-01-20","","","","","","",True,"","","","","","","https://de.linkedin.com/company/personalberatung-recruitment","","","","","","","","","","","",""
"li-4354132281","linkedin","https://www.linkedin.com/jobs/view/4354132281","","WinCC OA Engineer (M/F/D)","Quest Global","Erlangen, Bavaria, Germany","2026-01-20","","","","","","",False,"","","","","","","https://sg.linkedin.com/company/quest-global","","","","","","","","","","","",""
"li-4364612302","linkedin","https://www.linkedin.com/jobs/view/4364612302","","(Junior) Software Engineer (w/m/d) im Bereich Datamanagement","PRODATO","Nuremberg, Bavaria, Germany","2026-01-19","","","","","","",False,"","","","","","","https://de.linkedin.com/company/prodato","","","","","","","","","","","",""
"li-4222863208","linkedin","https://www.linkedin.com/jobs/view/4222863208","","Software Engineer Smalltalk (all genders)","adesso insurance solutions GmbH","Nuremberg, Bavaria, Germany","2026-01-19","","","","","","",False,"","","","","","","https://de.linkedin.com/company/adesso-insurance-solutions-gmbh","","","","","","","","","","","",""
"li-4360835019","linkedin","https://www.linkedin.com/jobs/view/4360835019","","Technical Expert Software Engineering (f/m/d) for Turbine Package Control Systems","Siemens Energy","Erlangen, Bavaria, Germany","2026-01-19","","","","","","",False,"","","","","","","https://www.linkedin.com/company/siemens-energy","","","","","","","","","","","",""
"li-3951056236","linkedin","https://www.linkedin.com/jobs/view/3951056236","","DevOps Engineer / Consultant Infrastruktur - Automatisierung (all genders)","adesso SE","Nuremberg, Bavaria, Germany","2026-01-19","","","","","","",False,"","","","","","","https://de.linkedin.com/company/adesso-se","","","","","","","","","","","",""
"li-4319475193","linkedin","https://www.linkedin.com/jobs/view/4319475193","","SAP EWM Developer (m/w/d)","Conrad Electronic Group","Hirschau, Bavaria, Germany","2026-01-19","","","","","","",False,"","","","","","","https://de.linkedin.com/company/conrad-electronic-se","","","","","","","","","","","",""
"li-4304864937","linkedin","https://www.linkedin.com/jobs/view/4304864937","","Java Backend Engineer (all gender)","ALTEN Germany","Nuremberg, Bavaria, Germany","2026-01-16","","","","","","",False,"","","","","","","https://de.linkedin.com/company/altengermany","","","","","","","","","","","",""
"li-4353574666","linkedin","https://www.linkedin.com/jobs/view/4353574666","","Software Engineer (Product) (all genders welcome)","COSMO CONSULT","Nuremberg, Bavaria, Germany","2026-01-16","","","","","","",False,"","","","","","","https://de.linkedin.com/company/cosmo-consult-gmbh","","","","","","","","","","","",""
"li-3961463739","linkedin","https://www.linkedin.com/jobs/view/3961463739","","Software Developer MES / IIoT (all genders)","adesso SE","Nuremberg, Bavaria, Germany","2026-01-16","","","","","","",False,"","","","","","","https://de.linkedin.com/company/adesso-se","","","","","","","","","","","",""
"li-4353048258","linkedin","https://www.linkedin.com/jobs/view/4353048258","","(Senior) Softwareentwickler (m/w/d)","ADG Apotheken-Dienstleistungsgesellschaft mbH","Regensburg, Bavaria, Germany","2026-01-15","","","","","","",False,"","","","","","","https://de.linkedin.com/company/adg-apotheken-software","","","","","","","","","","","",""
"li-4353034538","linkedin","https://www.linkedin.com/jobs/view/4353034538","","Fullstack Software Entwickler (m/w/d)","isento GmbH","Nuremberg, Bavaria, Germany","2026-01-14","","","","","","",False,"","","","","","","https://de.linkedin.com/company/isento-gmbh","","","","","","","","","","","",""
"li-4353210726","linkedin","https://www.linkedin.com/jobs/view/4353210726","","Softwareentwickler (m/w/d)","isento GmbH","Nuremberg, Bavaria, Germany","2026-01-14","","","","","","",False,"","","","","","","https://de.linkedin.com/company/isento-gmbh","","","","","","","","","","","",""
"li-4354884406","linkedin","https://www.linkedin.com/jobs/view/4354884406","","Verbundstudium An­gewandte Infor­matik (B.Sc.) 2026","infoteam Software AG","Nuremberg, Bavaria, Germany","2026-01-14","","","","","","",False,"","","","","","","https://de.linkedin.com/company/infoteam-software-ag","","","","","","","","","","","",""
"li-4268791202","linkedin","https://www.linkedin.com/jobs/view/4268791202","","Senior .NET Software Engineer","MAM Gruppe","Erlangen, Bavaria, Germany","2026-01-13","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/mam-gruppe","","","","","","","","","","","",""
"li-4328800946","linkedin","https://www.linkedin.com/jobs/view/4328800946","","Software Engineer – Aerospace (m/f/d)","PACE Aerospace & IT","Bavaria, Germany","2026-01-13","","","","","","",False,"","","","","","","https://de.linkedin.com/company/pace-gmbh","","","","","","","","","","","",""
"li-4328489599","linkedin","https://www.linkedin.com/jobs/view/4328489599","","System Test Engineer (m/w/d)","Saab","Nuremberg, Bavaria, Germany","2026-01-13","","","","","","",False,"","","","","","","https://se.linkedin.com/company/saab","","","","","","","","","","","",""
"li-4361233372","linkedin","https://www.linkedin.com/jobs/view/4361233372","","Software Engineer Java oder .Net/C# (w/m/d)","PRODATO","Nuremberg, Bavaria, Germany","2026-01-12","","","","","","",False,"","","","","","","https://de.linkedin.com/company/prodato","","","","","","","","","","","",""
